_id,username,useremail,age,gender,totalincome,checkU,utitlities,checkE,entertainment,checkS,schoolfees,checkSh,shopping,checkH,healthcare
676a380f0c5b5258e04ba19e,Henry Joe,henryjoe@gmail.com,38,Male,on,utilchk,100000,utilchk,30000,utilchk,100000,utilchk,3000,utilchk,15000
676a39780c5b5258e04ba19f,Emmy Rose,emmyrose@yahoo.com,35,Female,on,utilchk,30000,utilchk,5000,utilchk,70000,utilchk,50000,utilchk,15000
676a39cb0c5b5258e04ba1a0,Faith Godson,faithod@gmail.com,39,Female,on,utilchk,20000,utilchk,5000,utilchk,70000,utilchk,35000,utilchk,15000
676a3a180c5b5258e04ba1a1,Ijeoma maduka,ije@gmail.com,45,Female,on,utilchk,30000,utilchk,20000,utilchk,200000,utilchk,10000,utilchk,50000
676a3a610c5b5258e04ba1a2,Richard Fave,Richard@gmail.com,39,Male,on,utilchk,30000,utilchk,4000,utilchk,50000,utilchk,10000,utilchk,15000
676a3ab40c5b5258e04ba1a3,Theresa John,TheresaJohn@yahoo.com,40,Female,on,utilchk,100000,utilchk,30000,utilchk,200000,utilchk,50000,utilchk,15000
676a3b130c5b5258e04ba1a4,Uriel Mekus,urielmekus@yahoo.com,38,Male,on,utilchk,30000,utilchk,20000,utilchk,100000,utilchk,35000,utilchk,15000
676a3b720c5b5258e04ba1a5,Daniel Remi,Danielremi@gmail.com,45,Male,on,utilchk,5000,utilchk,4000,utilchk,20000,utilchk,3000,utilchk,5000
676a3bce0c5b5258e04ba1a6,Gift Oron,giftoron@gmail.com,39,Female,on,utilchk,100000,utilchk,20000,utilchk,100000,utilchk,30000,utilchk,15000
676a3c2e0c5b5258e04ba1a7,Colin Brian,colinbrian@gmail.com,23,Male,on,utilchk,40000,utilchk,5000,utilchk,70000,utilchk,20000,utilchk,5000
676a3caf0c5b5258e04ba1a8,Mike David,mikedave@yahoo.com,35,Male,on,utilchk,30000,utilchk,20000,utilchk,100000,utilchk,10000,utilchk,5000
676a3d180c5b5258e04ba1a9,Mary jay,Maryjay@gmail.com,39,Female,on,utilchk,20000,utilchk,2000,utilchk,20000,utilchk,10000,utilchk,4000
676a3d8b0c5b5258e04ba1aa,Hope Hanny,Hopeany@gmail.com,39,Female,on,utilchk,100000,utilchk,4000,utilchk,70000,utilchk,100000,utilchk,50000
676a3e020c5b5258e04ba1ab,Susan Felix,susanfelix@gmail.com,38,Female,on,utilchk,40000,utilchk,4000,utilchk,30000,utilchk,5000,utilchk,15000
676a3e930c5b5258e04ba1ac,Ijeoma maduka,Ijeomaokpanku@gmail.com,45,Female,on,utilchk,80000,utilchk,4500,utilchk,50000,utilchk,35000,utilchk,15000
676a3eee0c5b5258e04ba1ad,Reka Joe,RJoe@gmail.com,35,Male,on,utilchk,5000,utilchk,30000,utilchk,100000,utilchk,30000,utilchk,15000
676a3f780c5b5258e04ba1ae,vivian Dame,vivianDame@yahoo.com,40,Female,50000,utilchk,15000,utilchk,2000,utilchk,20000,utilchk,5000,utilchk,5000
676a3fba0c5b5258e04ba1af,Kingley Ben,kingben@gmail.com,23,Male,on,utilchk,30000,utilchk,30000,utilchk,70000,utilchk,10000,utilchk,4000
676a400b0c5b5258e04ba1b0,Johny Gab,Jonygab@gmail.com,45,Male,on,enterchk,40000,enterchk,20000,enterchk,70000,enterchk,30000,enterchk,15000
676a40a10c5b5258e04ba1b1,Osas Bridget,OsasBridgetyahoo.com,33,Female,on,utilchk,30000,utilchk,5000,utilchk,50000,utilchk,10000,utilchk,15000
676a42120c5b5258e04ba1b2,Peter Jame,peterjames@gmail.com,40,Male,on,utilchk,100000,utilchk,4000,utilchk,90000,utilchk,30000,utilchk,4000
676a42890c5b5258e04ba1b3,Sam haye,samaye@yaoo.com,35,Male,on,utilchk,150000,utilchk,10000,utilchk,100000,utilchk,35000,utilchk,10000
676a43000c5b5258e04ba1b4,Prince Willie,PrinceWillie@gmail.com,45,Male,on,utilchk,150000,utilchk,5000,utilchk,100000,utilchk,3000,utilchk,4000
676a43740c5b5258e04ba1b5,Noble Jim,NobleJim@gmail.com,40,Male,on,utilchk,20000,utilchk,8000,utilchk,95000,utilchk,10000,utilchk,5000
676a43e40c5b5258e04ba1b6,Dave ilks,Daveilks@gmail.com,35,Male,on,utilchk,230000,utilchk,10000,utilchk,200000,utilchk,50000,utilchk,30000
676a45e00c5b5258e04ba1b7,Larry Ekens,LarryEkens@gmail.com,50,Male,on,utilchk,250000,utilchk,30000,utilchk,100000,utilchk,50000,utilchk,25000
676a473d0c5b5258e04ba1b8,Vivian chloe,Vivianchloe@yahoo.com,48,Female,on,utilchk,100000,utilchk,2000,utilchk,70000,utilchk,100000,utilchk,50000
676a47de0c5b5258e04ba1b9,Emilia Godfey,EmiliaGodfey@gmail.com,28,Female,on,utilchk,100000,utilchk,4000,utilchk,70000,utilchk,3000,utilchk,50000
676a48d50c5b5258e04ba1ba,Cinamon gale,Cinamongale@gmail.com,39,Male,on,utilchk,100000,utilchk,10000,utilchk,100000,utilchk,55000,utilchk,35000
676a49ca0c5b5258e04ba1bb,Julian Felly,JulianFelly@gmail.com,29,Female,on,utilchk,150000,utilchk,5000,utilchk,70000,utilchk,40000,utilchk,15000
676a4c950c5b5258e04ba1bc,Keneth Robson,KenethRobson@gmail.com,50,Male,on,utilchk,150000,utilchk,5000,utilchk,70000,utilchk,30000,utilchk,15000
